colummn
41
29
41
13
5
26
22
6
11
28
53
47
32
0
50
0
31
0
8
21
26
10
23
59
40
9
3
4
1
6
0
39
16
12
28
4
9
24
13
18
20
19
14
0
16
11
2
9
1
37
14
26
20
2
0
4
9
4
4
3
7
20
6
0
2
8
11
8
5
17
14
9
11
1
1
3
5
1
17
2
24
6
2
3
5
17
36
18
"4,347"
"11,174"
"2,342"
747
822
416
351
478
116
136
216
134
116
45
0
77
24
78
28
62
32
15
3
40
77
24
17
39
50
204
116
54
93
67
16
72
41
42
484
48
8
31
524
623
0
47
25
19
314
3
16
"1,323"
291
15
"1,132"
5
323
470
525
10
47
76
11
30
65
856
115
59
500
187
427
246
28
33
590
154
76
250
320
247
143
"1,006"
215
73
474
117
171
33
57
689
0
20
151
35
124
8
160
3
39
633
45
119
650
4
255
55
0
140
98
3
0
16
12
31
74
4
186
73
0
13
59
79
"1,855"
144
139
65
168
12
14
116
205
125
20
0
0
40
34
773
31
26
11
100
4
276
"1,373"
206
10
0
180
0
8
16
8
0
26
1
238
2
10
20
13
2
17
0
1
2
2
13
8
19
50
41
19
77
59
3
37
60
2
73
6
11
40
0
9
61
3
24
10
34
33
19
23
7
2
6
13
22
0
4
6
9
29
2
0
6
50
0
2
1
1
1
1
5
1
4
2
5
28
28
19
3
23
16
7
2
1
9
1
1
17
10
6
14
5
2
0
0
0
0
2
2
0
0
2
2
20
11
11
11
0
0
0
2
31
13
7
1
2
16
6
10
0
56
197
3
0
51
7
6
9
0
0
0
0
1
4
1
0
0
0
0
10
10
1
1
1
0
8
0
18
50
2
0
8
8
5
0
39
5
0
17
0
0
61
14
13
0
13
2
0
0
13
6
0
17
7
4
0
0
0
2
2
51
18
0
0
4
4
0
13
188
104
265
228
0
0
0
0
11
11
0
0
3
5
10
4
3
1
0
0
5
4
0
0
13
7
0
12
5
7
25
6
2
1
3
2
84
0
1
5
4
2
0
0
0
0
5
0
0
2
0
1
4
0
1
0
46
0
1
0
1
3
111
2
4
7
6
7
0
7
4
1
1
0
0
111
8
4
25
4
3
3
3
0
0
0
3
2
2
34
19
24
10
3
17
17
1
3
0
10
0
37
10
0
10
0
3
0
0
0
63
0
10
0
0
0
16
8
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
1
12
3
1
0
2
2
15
9
2
2
2
0
5
263
226
13
38
14
51
1
15
17
12
23
62
6
10
62
108
12
5
5
17
65
0
18
0
1
0
0
0
11
0
2
0
1
0
0
0
4
3
1
0
0
0
0
0
0
0
0
0
0
0
0
13
13
10
9
2
8
0
0
3
1
9
1
2
3
0
15
12
19
7
11
0
0
2
1
4
4
0
0
2
2
0
0
0
0
3
51
60
0
0
0
0
16
1
3
3
0
9
0
4
6
0
34
4
3
9
0
15
0
0
0
0
3
1
56
0
0
4
0
0
0
1
0
0
1
3
2
2
1
1
3
2
0
3
5
0
8
5
8
100
357
0
21
1
2
60
4
5
0
0
2
4
17
0
80
6
1
12
10
4
0
19
6
8
3
6
0
0
0
15
1
4
0
3
0
9
10
18
0
0
2
0
0
0
0
0
17
3
1
3
